part_type,abbr,img_url,name_hasbro,name_takara,page_url,product_code,weight,system,series,attack,defense,stamina,weight_stat,speed,burst
Energy Layer,aB,https://vignette.wikia.nocookie.net/beyblade/images/3/36/LayerArcBahamut.png/revision/latest?cb=20180409022333,Balkesh B3,Arc Bahamut,https://beyblade.fandom.com/wiki/Energy_Layer_-_Balkesh_B3,B-98,,God Layer System,Beyblade Burst Evolution,1,5,1,3,0,2
Energy Layer,aC,https://vignette.wikia.nocookie.net/beyblade/images/5/5c/LayerAlterChronos.png/revision/latest?cb=20170515222300,Cognite C3,Alter Chronos,https://beyblade.fandom.com/wiki/Energy_Layer_-_Cognite_C3,B-82,,God Layer System,Beyblade Burst Evolution,3,1,0,3,3,2
Energy Layer,N/A,,Asteroid Zeutron Z3,N/A,https://beyblade.fandom.com/wiki/Energy_Layer_-_Asteroid_Zeutron_Z3,,,God Layer System,Beyblade Burst Turbo,,,,,,
Energy Layer,bK,https://vignette.wikia.nocookie.net/beyblade/images/7/7c/LayerBeatKukulcan.png/revision/latest?cb=20171227200808,Khalzar K3,Beat Kukulcan,https://beyblade.fandom.com/wiki/Energy_Layer_-_Khalzar_K3,B-101,14.41,God Layer System,Beyblade Burst Evolution,4,0,0,3,1,4
Energy Layer,bJ,https://vignette.wikia.nocookie.net/beyblade/images/3/3b/LayerBlastJinnius.png/revision/latest?cb=20171228235720,Jinnius J3,Blast Jinnius,https://beyblade.fandom.com/wiki/Energy_Layer_-_Jinnius_J3,B-89,,God Layer System,Beyblade Burst Evolution,2,4,2,2,1,1
Energy Layer,bR,https://vignette.wikia.nocookie.net/beyblade/images/1/17/LayerBlazeRagnaruk.png/revision/latest?cb=20170315151253,Roktavor R3,Blaze Ragnaruk,https://beyblade.fandom.com/wiki/Energy_Layer_-_Roktavor_R3,B-75,9.18,God Layer System,Beyblade Burst Evolution,2,1,3,2,2,2
Energy Layer,dC,https://vignette.wikia.nocookie.net/beyblade/images/4/49/LayerDeepChaos.png/revision/latest?cb=20171013221336,Caynox C3,Deep Chaos,https://beyblade.fandom.com/wiki/Energy_Layer_-_Caynox_C3,B-98,,God Layer System,Beyblade Burst Evolution,0,3,5,2,2,0
Energy Layer,dF,https://vignette.wikia.nocookie.net/beyblade/images/9/95/LayerDrainFafnir.png/revision/latest?cb=20170414183000,Fafnir F3,Drain Fafnir,https://beyblade.fandom.com/wiki/Energy_Layer_-_Fafnir_F3,B-79,12.68,God Layer System,Beyblade Burst Evolution,0,2,5,4,0,1
Energy Layer,dα,https://vignette.wikia.nocookie.net/beyblade/images/0/0e/LayerDuoApollos.png/revision/latest?cb=20180306140717,Duo Apollos,Duo Apollos,https://beyblade.fandom.com/wiki/Energy_Layer_-_Duo_Apollos,,,God Layer System,Beyblade Burst Evolution,,,,,,
Energy Layer,dα,https://vignette.wikia.nocookie.net/beyblade/images/0/07/LayerDuoArtemis.png/revision/latest?cb=20180306141154,Duo Artemis,Duo Artemis,https://beyblade.fandom.com/wiki/Energy_Layer_-_Duo_Artemis,,,God Layer System,Beyblade Burst Evolution,,,,,,
Energy Layer,dα,https://vignette.wikia.nocookie.net/beyblade/images/e/e8/LayerDuoEclipse.png/revision/latest?cb=20180306141211,Duo Eclipse,Duo Eclipse,https://beyblade.fandom.com/wiki/Energy_Layer_-_Duo_Eclipse,,,God Layer System,Beyblade Burst Evolution,,,,,,
Energy Layer,gK,https://vignette.wikia.nocookie.net/beyblade/images/2/2d/LayerGuardianKerbeus.png/revision/latest?cb=20170716144716,Kerbeus K4,Guardian Kerbeus,https://beyblade.fandom.com/wiki/Energy_Layer_-_Kerbeus_K4,B-90,10.3,God Layer System,Beyblade Burst Evolution,0,4,2,3,2,1
Energy Layer,gV,https://vignette.wikia.nocookie.net/beyblade/images/e/e9/LayerGodValkyrie.png/revision/latest?cb=20170315151254,Genesis Valtryek V3,God Valkyrie,https://beyblade.fandom.com/wiki/Energy_Layer_-_Genesis_Valtryek_V3,B-73,10.16,God Layer System,Beyblade Burst Evolution,4,0,0,1,2,5
Energy Layer,gZ,https://vignette.wikia.nocookie.net/beyblade/images/b/b7/LayerGalaxyZeus.png/revision/latest?cb=20170714225703,Galaxy Zeutron Z4,Galaxy Zeus,https://beyblade.fandom.com/wiki/Energy_Layer_-_Galaxy_Zeutron_Z4,B-90,,God Layer System,Beyblade Burst Evolution,0,0,5,5,0,2
Energy Layer,kD,https://vignette.wikia.nocookie.net/beyblade/images/a/a5/LayerKillerDeathscyther.png/revision/latest?cb=20170526232743,Doomscizor D3,Killer Deathscyther,https://beyblade.fandom.com/wiki/Energy_Layer_-_Doomscizor_D3,B-85,9.2,God Layer System,Beyblade Burst Evolution,4,1,0,3,0,4
Energy Layer,kS,https://vignette.wikia.nocookie.net/beyblade/images/4/44/LayerKreisSatan.png/revision/latest?cb=20170315151255,Satomb S3,Kreis Satan,https://beyblade.fandom.com/wiki/Energy_Layer_-_Satomb_S3,B-74,9.31,God Layer System,Beyblade Burst Evolution,1,4,1,4,1,1
Energy Layer,lS,https://vignette.wikia.nocookie.net/beyblade/images/0/0a/LayerLegendSpriggan.png/revision/latest?cb=20170615163205,Legend Spryzen S3,Legend Spriggan,https://beyblade.fandom.com/wiki/Energy_Layer_-_Legend_Spryzen_S3,B-86,14.5,God Layer System,Beyblade Burst Evolution,3,2,0,4,1,3
Energy Layer,mG,https://vignette.wikia.nocookie.net/beyblade/images/b/b2/LayerMaximumGaruda.png/revision/latest?cb=20170714225740,Garuda G3,Maximum Garuda,https://beyblade.fandom.com/wiki/Energy_Layer_-_Garuda_G3,B-87,9.8,God Layer System,Beyblade Burst Evolution,0,1,4,3,4,0
Energy Layer,nL,https://vignette.wikia.nocookie.net/beyblade/images/5/56/LayerNightmareLonginus.png/revision/latest?cb=20180101025839,Luinor L3,Nightmare Longinus,https://beyblade.fandom.com/wiki/Energy_Layer_-_Luinor_L3,B-97,37.34,God Layer System,Beyblade Burst Evolution,7,0,0,6,1,4
Energy Layer,SgV,https://vignette.wikia.nocookie.net/beyblade/images/4/4c/LayerStrikeGodValkyrie.png/revision/latest?cb=20171116174116,Strike Valtryek V3,Strike God Valkyrie,https://beyblade.fandom.com/wiki/Energy_Layer_-_Strike_Valtryek_V3,B-96,,God Layer System,Beyblade Burst Evolution,4,0,0,2,2,5
Energy Layer,Sr,https://vignette.wikia.nocookie.net/beyblade/images/a/a9/LayerSprigganRequiem.png/revision/latest?cb=20171116103334,Spryzen Requiem S3,Spriggan Requiem,https://beyblade.fandom.com/wiki/Energy_Layer_-_Spryzen_Requiem_S3,B-100,16.05,God Layer System,Beyblade Burst Evolution,3,3,3,4,0,1
Energy Layer,sR,https://vignette.wikia.nocookie.net/beyblade/images/6/6c/LayerShelterRegulus.png/revision/latest?cb=20170922194420,Regulus R3,Shelter Regulus,https://beyblade.fandom.com/wiki/Energy_Layer_-_Regulus_R3,B-95,,God Layer System,Beyblade Burst Evolution,2,3,1,3,1,2
Energy Layer,sT,https://vignette.wikia.nocookie.net/beyblade/images/4/4a/LayerScrewTrident.png/revision/latest?cb=20180115094619,Spiral Treptune T4,Screw Trident,https://beyblade.fandom.com/wiki/Energy_Layer_-_Spiral_Treptune_T4,BG-08,14,God Layer System,Beyblade Burst Evolution,0,1,5,4,1,1
Energy Layer,sX,https://vignette.wikia.nocookie.net/beyblade/images/c/c3/LayerSiegXcalibur.png/revision/latest?cb=20170812060134,Xcalius X3,Sieg Xcalibur,https://beyblade.fandom.com/wiki/Energy_Layer_-_Xcalius_X3,B-92,16.31,God Layer System,Beyblade Burst Evolution,5,0,0,4,0,4
